PING 192.168.1.3 (192.168.1.3) 56(84) bytes of data.
64 bytes from 192.168.1.3: icmp_req=196 ttl=64 time=5.73 ms
64 bytes from 192.168.1.3: icmp_req=197 ttl=64 time=4.62 ms
64 bytes from 192.168.1.3: icmp_req=198 ttl=64 time=5.73 ms
64 bytes from 192.168.1.3: icmp_req=199 ttl=64 time=4.64 ms
64 bytes from 192.168.1.3: icmp_req=200 ttl=64 time=3.56 ms
64 bytes from 192.168.1.3: icmp_req=201 ttl=64 time=3.50 ms
64 bytes from 192.168.1.3: icmp_req=202 ttl=64 time=3.55 ms
64 bytes from 192.168.1.3: icmp_req=203 ttl=64 time=3.48 ms
64 bytes from 192.168.1.3: icmp_req=204 ttl=64 time=4.58 ms
64 bytes from 192.168.1.3: icmp_req=205 ttl=64 time=3.46 ms
64 bytes from 192.168.1.3: icmp_req=206 ttl=64 time=3.45 ms
64 bytes from 192.168.1.3: icmp_req=207 ttl=64 time=4.84 ms
64 bytes from 192.168.1.3: icmp_req=208 ttl=64 time=3.88 ms
64 bytes from 192.168.1.3: icmp_req=209 ttl=64 time=3.59 ms
64 bytes from 192.168.1.3: icmp_req=210 ttl=64 time=8.06 ms
64 bytes from 192.168.1.3: icmp_req=211 ttl=64 time=3.42 ms
64 bytes from 192.168.1.3: icmp_req=212 ttl=64 time=3.54 ms
64 bytes from 192.168.1.3: icmp_req=213 ttl=64 time=5.74 ms
64 bytes from 192.168.1.3: icmp_req=214 ttl=64 time=5.68 ms
64 bytes from 192.168.1.3: icmp_req=215 ttl=64 time=3.56 ms
64 bytes from 192.168.1.3: icmp_req=216 ttl=64 time=3.52 ms
64 bytes from 192.168.1.3: icmp_req=217 ttl=64 time=10.1 ms
64 bytes from 192.168.1.3: icmp_req=218 ttl=64 time=3.68 ms
64 bytes from 192.168.1.3: icmp_req=219 ttl=64 time=6.95 ms
64 bytes from 192.168.1.3: icmp_req=220 ttl=64 time=6.83 ms
64 bytes from 192.168.1.3: icmp_req=221 ttl=64 time=4.58 ms
64 bytes from 192.168.1.3: icmp_req=222 ttl=64 time=4.69 ms
64 bytes from 192.168.1.3: icmp_req=223 ttl=64 time=3.50 ms
64 bytes from 192.168.1.3: icmp_req=224 ttl=64 time=4.68 ms
64 bytes from 192.168.1.3: icmp_req=225 ttl=64 time=3.47 ms
64 bytes from 192.168.1.3: icmp_req=226 ttl=64 time=3.46 ms
64 bytes from 192.168.1.3: icmp_req=227 ttl=64 time=4.62 ms
64 bytes from 192.168.1.3: icmp_req=228 ttl=64 time=4.63 ms
64 bytes from 192.168.1.3: icmp_req=229 ttl=64 time=3.48 ms
64 bytes from 192.168.1.3: icmp_req=230 ttl=64 time=3.53 ms
64 bytes from 192.168.1.3: icmp_req=231 ttl=64 time=4.68 ms
64 bytes from 192.168.1.3: icmp_req=232 ttl=64 time=7.11 ms
64 bytes from 192.168.1.3: icmp_req=233 ttl=64 time=5.94 ms
64 bytes from 192.168.1.3: icmp_req=234 ttl=64 time=4.66 ms
64 bytes from 192.168.1.3: icmp_req=235 ttl=64 time=4.60 ms
64 bytes from 192.168.1.3: icmp_req=236 ttl=64 time=3.49 ms
64 bytes from 192.168.1.3: icmp_req=237 ttl=64 time=3.64 ms
64 bytes from 192.168.1.3: icmp_req=238 ttl=64 time=3.46 ms
64 bytes from 192.168.1.3: icmp_req=239 ttl=64 time=5.81 ms
64 bytes from 192.168.1.3: icmp_req=240 ttl=64 time=4.60 ms
64 bytes from 192.168.1.3: icmp_req=241 ttl=64 time=3.47 ms
64 bytes from 192.168.1.3: icmp_req=242 ttl=64 time=3.46 ms
64 bytes from 192.168.1.3: icmp_req=243 ttl=64 time=6.93 ms
64 bytes from 192.168.1.3: icmp_req=244 ttl=64 time=5.77 ms
64 bytes from 192.168.1.3: icmp_req=245 ttl=64 time=7.02 ms
64 bytes from 192.168.1.3: icmp_req=246 ttl=64 time=5.79 ms
64 bytes from 192.168.1.3: icmp_req=247 ttl=64 time=6.96 ms
64 bytes from 192.168.1.3: icmp_req=248 ttl=64 time=4.66 ms
64 bytes from 192.168.1.3: icmp_req=249 ttl=64 time=5.70 ms
64 bytes from 192.168.1.3: icmp_req=250 ttl=64 time=4.56 ms
64 bytes from 192.168.1.3: icmp_req=251 ttl=64 time=5.68 ms
64 bytes from 192.168.1.3: icmp_req=252 ttl=64 time=3.62 ms
64 bytes from 192.168.1.3: icmp_req=253 ttl=64 time=3.63 ms
64 bytes from 192.168.1.3: icmp_req=254 ttl=64 time=3.51 ms
64 bytes from 192.168.1.3: icmp_req=255 ttl=64 time=3.49 ms
64 bytes from 192.168.1.3: icmp_req=256 ttl=64 time=22.1 ms
64 bytes from 192.168.1.3: icmp_req=257 ttl=64 time=4.81 ms
64 bytes from 192.168.1.3: icmp_req=258 ttl=64 time=3.67 ms
64 bytes from 192.168.1.3: icmp_req=259 ttl=64 time=3.50 ms
64 bytes from 192.168.1.3: icmp_req=260 ttl=64 time=3.56 ms
64 bytes from 192.168.1.3: icmp_req=261 ttl=64 time=6.98 ms
64 bytes from 192.168.1.3: icmp_req=262 ttl=64 time=8.16 ms
64 bytes from 192.168.1.3: icmp_req=263 ttl=64 time=5.82 ms
64 bytes from 192.168.1.3: icmp_req=264 ttl=64 time=4.54 ms
64 bytes from 192.168.1.3: icmp_req=265 ttl=64 time=4.53 ms
64 bytes from 192.168.1.3: icmp_req=266 ttl=64 time=4.56 ms
64 bytes from 192.168.1.3: icmp_req=267 ttl=64 time=3.59 ms
64 bytes from 192.168.1.3: icmp_req=268 ttl=64 time=4.62 ms
64 bytes from 192.168.1.3: icmp_req=269 ttl=64 time=4.62 ms
64 bytes from 192.168.1.3: icmp_req=270 ttl=64 time=3.47 ms
64 bytes from 192.168.1.3: icmp_req=271 ttl=64 time=3.50 ms
64 bytes from 192.168.1.3: icmp_req=272 ttl=64 time=6.22 ms
64 bytes from 192.168.1.3: icmp_req=273 ttl=64 time=3.49 ms
64 bytes from 192.168.1.3: icmp_req=274 ttl=64 time=4.56 ms
64 bytes from 192.168.1.3: icmp_req=275 ttl=64 time=3.58 ms
64 bytes from 192.168.1.3: icmp_req=276 ttl=64 time=3.49 ms
64 bytes from 192.168.1.3: icmp_req=277 ttl=64 time=3.60 ms
64 bytes from 192.168.1.3: icmp_req=278 ttl=64 time=3.51 ms
64 bytes from 192.168.1.3: icmp_req=279 ttl=64 time=5.74 ms
64 bytes from 192.168.1.3: icmp_req=280 ttl=64 time=39.9 ms
64 bytes from 192.168.1.3: icmp_req=281 ttl=64 time=4.58 ms
64 bytes from 192.168.1.3: icmp_req=282 ttl=64 time=3.66 ms
64 bytes from 192.168.1.3: icmp_req=283 ttl=64 time=3.65 ms
64 bytes from 192.168.1.3: icmp_req=284 ttl=64 time=4.69 ms
64 bytes from 192.168.1.3: icmp_req=285 ttl=64 time=3.63 ms
64 bytes from 192.168.1.3: icmp_req=286 ttl=64 time=3.51 ms
64 bytes from 192.168.1.3: icmp_req=287 ttl=64 time=4.64 ms
64 bytes from 192.168.1.3: icmp_req=288 ttl=64 time=4.59 ms
64 bytes from 192.168.1.3: icmp_req=289 ttl=64 time=3.45 ms
64 bytes from 192.168.1.3: icmp_req=290 ttl=64 time=3.55 ms
64 bytes from 192.168.1.3: icmp_req=291 ttl=64 time=3.48 ms
64 bytes from 192.168.1.3: icmp_req=292 ttl=64 time=3.49 ms
64 bytes from 192.168.1.3: icmp_req=293 ttl=64 time=3.50 ms
64 bytes from 192.168.1.3: icmp_req=294 ttl=64 time=3.41 ms
64 bytes from 192.168.1.3: icmp_req=295 ttl=64 time=4.55 ms
64 bytes from 192.168.1.3: icmp_req=296 ttl=64 time=3.49 ms
64 bytes from 192.168.1.3: icmp_req=297 ttl=64 time=3.60 ms
64 bytes from 192.168.1.3: icmp_req=298 ttl=64 time=3.46 ms
64 bytes from 192.168.1.3: icmp_req=299 ttl=64 time=3.56 ms
64 bytes from 192.168.1.3: icmp_req=300 ttl=64 time=3.44 ms
64 bytes from 192.168.1.3: icmp_req=301 ttl=64 time=3.42 ms
64 bytes from 192.168.1.3: icmp_req=302 ttl=64 time=3.48 ms
64 bytes from 192.168.1.3: icmp_req=303 ttl=64 time=3.50 ms
64 bytes from 192.168.1.3: icmp_req=304 ttl=64 time=3.45 ms
64 bytes from 192.168.1.3: icmp_req=305 ttl=64 time=3.55 ms
64 bytes from 192.168.1.3: icmp_req=306 ttl=64 time=3.55 ms
64 bytes from 192.168.1.3: icmp_req=307 ttl=64 time=3.62 ms
64 bytes from 192.168.1.3: icmp_req=308 ttl=64 time=3.68 ms
64 bytes from 192.168.1.3: icmp_req=309 ttl=64 time=3.42 ms
64 bytes from 192.168.1.3: icmp_req=310 ttl=64 time=3.46 ms
64 bytes from 192.168.1.3: icmp_req=311 ttl=64 time=3.47 ms
64 bytes from 192.168.1.3: icmp_req=312 ttl=64 time=3.54 ms
64 bytes from 192.168.1.3: icmp_req=313 ttl=64 time=3.52 ms
64 bytes from 192.168.1.3: icmp_req=314 ttl=64 time=3.51 ms
64 bytes from 192.168.1.3: icmp_req=315 ttl=64 time=3.44 ms
64 bytes from 192.168.1.3: icmp_req=316 ttl=64 time=3.49 ms
64 bytes from 192.168.1.3: icmp_req=317 ttl=64 time=3.86 ms
64 bytes from 192.168.1.3: icmp_req=318 ttl=64 time=3.46 ms
64 bytes from 192.168.1.3: icmp_req=319 ttl=64 time=3.52 ms
64 bytes from 192.168.1.3: icmp_req=320 ttl=64 time=3.43 ms
64 bytes from 192.168.1.3: icmp_req=321 ttl=64 time=3.41 ms
64 bytes from 192.168.1.3: icmp_req=322 ttl=64 time=3.53 ms
64 bytes from 192.168.1.3: icmp_req=323 ttl=64 time=3.49 ms
64 bytes from 192.168.1.3: icmp_req=324 ttl=64 time=3.46 ms
64 bytes from 192.168.1.3: icmp_req=325 ttl=64 time=3.51 ms
64 bytes from 192.168.1.3: icmp_req=326 ttl=64 time=3.48 ms
64 bytes from 192.168.1.3: icmp_req=327 ttl=64 time=3.73 ms
64 bytes from 192.168.1.3: icmp_req=328 ttl=64 time=3.54 ms
64 bytes from 192.168.1.3: icmp_req=329 ttl=64 time=3.50 ms
64 bytes from 192.168.1.3: icmp_req=330 ttl=64 time=3.48 ms
64 bytes from 192.168.1.3: icmp_req=331 ttl=64 time=3.46 ms
64 bytes from 192.168.1.3: icmp_req=332 ttl=64 time=3.57 ms
64 bytes from 192.168.1.3: icmp_req=333 ttl=64 time=3.63 ms
64 bytes from 192.168.1.3: icmp_req=334 ttl=64 time=3.60 ms
64 bytes from 192.168.1.3: icmp_req=335 ttl=64 time=3.49 ms
64 bytes from 192.168.1.3: icmp_req=336 ttl=64 time=3.59 ms
64 bytes from 192.168.1.3: icmp_req=337 ttl=64 time=3.52 ms
64 bytes from 192.168.1.3: icmp_req=338 ttl=64 time=3.51 ms
64 bytes from 192.168.1.3: icmp_req=339 ttl=64 time=3.42 ms
64 bytes from 192.168.1.3: icmp_req=340 ttl=64 time=3.40 ms
64 bytes from 192.168.1.3: icmp_req=341 ttl=64 time=3.45 ms
64 bytes from 192.168.1.3: icmp_req=342 ttl=64 time=3.57 ms
64 bytes from 192.168.1.3: icmp_req=343 ttl=64 time=3.53 ms
64 bytes from 192.168.1.3: icmp_req=344 ttl=64 time=3.49 ms
64 bytes from 192.168.1.3: icmp_req=345 ttl=64 time=3.51 ms
64 bytes from 192.168.1.3: icmp_req=346 ttl=64 time=3.52 ms
64 bytes from 192.168.1.3: icmp_req=347 ttl=64 time=3.42 ms
64 bytes from 192.168.1.3: icmp_req=348 ttl=64 time=3.45 ms
64 bytes from 192.168.1.3: icmp_req=349 ttl=64 time=3.56 ms
64 bytes from 192.168.1.3: icmp_req=350 ttl=64 time=3.46 ms
64 bytes from 192.168.1.3: icmp_req=351 ttl=64 time=3.49 ms
64 bytes from 192.168.1.3: icmp_req=352 ttl=64 time=3.54 ms
64 bytes from 192.168.1.3: icmp_req=353 ttl=64 time=3.46 ms
64 bytes from 192.168.1.3: icmp_req=354 ttl=64 time=3.54 ms
64 bytes from 192.168.1.3: icmp_req=355 ttl=64 time=3.96 ms
64 bytes from 192.168.1.3: icmp_req=356 ttl=64 time=3.51 ms
64 bytes from 192.168.1.3: icmp_req=357 ttl=64 time=3.68 ms
64 bytes from 192.168.1.3: icmp_req=358 ttl=64 time=3.58 ms
64 bytes from 192.168.1.3: icmp_req=359 ttl=64 time=3.52 ms
64 bytes from 192.168.1.3: icmp_req=360 ttl=64 time=3.47 ms
